Year,State,Obesity_Rate,Education_Level
2011,Georgia,32.6,High school graduate
2011,Hawaii,34.0,Some college or technical school
2011,Hawaii,27.1,Less than high school
2011,Hawaii,22.8,Some college or technical school
2011,Hawaii,28.9,Less than high school
2011,Hawaii,34.4,College graduate
2011,Hawaii,34.7,High school graduate
2011,Hawaii,24.9,High school graduate
2011,Iowa,23.2,College graduate
2011,Iowa,37.5,College graduate
2011,Iowa,35.4,High school graduate
2011,Iowa,35.7,Some college or technical school
2011,Iowa,28.2,Less than high school
2011,Iowa,29.0,Some college or technical school
2011,Iowa,33.7,Less than high school
2011,Iowa,33.0,High school graduate
2011,Idaho,33.3,High school graduate
2011,Idaho,38.6,College graduate
2011,Idaho,27.6,Some college or technical school
2011,Idaho,31.9,Less than high school
2011,Idaho,28.2,High school graduate
2011,Idaho,32.8,Less than high school
2011,Idaho,35.9,Some college or technical school
2011,Illinois,23.4,College graduate
2011,Illinois,35.9,Some college or technical school
2011,Illinois,35.2,High school graduate
2011,Illinois,28.0,Some college or technical school
2011,Illinois,36.9,College graduate
2011,Illinois,43.0,Less than high school
2011,Illinois,29.0,Less than high school
2011,Illinois,29.0,High school graduate
2011,Indiana,24.7,Less than high school
2011,Indiana,35.3,High school graduate
2011,Indiana,23.5,College graduate
2011,Indiana,32.3,High school graduate
2011,Indiana,31.8,Some college or technical school
2011,Indiana,36.2,Less than high school
2011,Indiana,38.9,College graduate
2011,Indiana,35.9,Some college or technical school
2011,Kansas,33.3,Less than high school
2011,Kansas,33.9,High school graduate
2011,Kansas,31.3,Some college or technical school
2011,Kansas,24.9,College graduate
2011,Kansas,30.6,Less than high school
2011,Kansas,33.5,Some college or technical school
2011,Kansas,38.2,College graduate
2011,Kansas,31.5,High school graduate
2011,Kentucky,34.7,Less than high school
2011,Kentucky,36.7,High school graduate
2011,Kentucky,34.0,Less than high school
2011,Kentucky,31.4,High school graduate
2011,Kentucky,24.4,College graduate
2011,Kentucky,34.5,Some college or technical school
2011,Kentucky,38.8,College graduate
2011,Kentucky,30.6,Some college or technical school
2011,Louisiana,34.3,High school graduate
2011,Louisiana,32.1,Less than high school
2011,Louisiana,35.8,Some college or technical school
2011,Louisiana,33.5,Some college or technical school
2011,Louisiana,36.9,College graduate
2011,Louisiana,33.6,High school graduate
2011,Louisiana,26.6,College graduate
2011,Louisiana,36.3,Less than high school
2011,Massachusetts,37.4,High school graduate
2011,Massachusetts,24.1,Some college or technical school
2011,Massachusetts,37.0,College graduate
2011,Massachusetts,37.1,Some college or technical school
2011,Massachusetts,31.1,Less than high school
2011,Massachusetts,31.7,Less than high school
2011,Massachusetts,25.2,High school graduate
2011,Maryland,35.2,Less than high school
2011,Maryland,35.8,Some college or technical school
2011,Maryland,29.3,Some college or technical school
2011,Maryland,35.2,High school graduate
2011,Maryland,32.6,High school graduate
2011,Maryland,31.2,Less than high school
2011,Maryland,39.0,College graduate
2011,Maine,28.4,Some college or technical school
2011,Maine,37.7,Some college or technical school
2011,Maine,37.8,College graduate
2011,Maine,37.2,High school graduate
2011,Maine,34.8,Less than high school
2011,Maine,31.4,High school graduate
2011,Maine,32.2,Less than high school
2011,Michigan,32.1,High school graduate
2011,Michigan,36.0,College graduate
2011,Michigan,33.8,Less than high school
2011,Michigan,36.2,High school graduate
2011,Michigan,32.5,Some college or technical school
2011,Michigan,32.8,Some college or technical school
2011,Michigan,26.6,College graduate
2011,Michigan,30.4,Less than high school
2011,Minnesota,32.7,Less than high school
2011,Minnesota,36.3,High school graduate
2011,Minnesota,27.2,Some college or technical school
2011,Minnesota,38.8,College graduate
2011,Minnesota,36.4,Some college or technical school
2011,Minnesota,28.2,Less than high school
2011,Minnesota,28.9,High school graduate
2011,Missouri,31.5,Some college or technical school
2011,Missouri,30.3,High school graduate
2011,Missouri,32.6,Less than high school
2011,Missouri,26.4,College graduate
2011,Missouri,33.4,High school graduate
2011,Missouri,33.8,Less than high school
2011,Missouri,35.4,Some college or technical school
2011,Missouri,36.5,College graduate
2011,Mississippi,33.9,Some college or technical school
2011,Mississippi,31.2,College graduate
2011,Mississippi,34.7,High school graduate
2011,Mississippi,36.9,Some college or technical school
2011,Mississippi,37.4,College graduate
2011,Mississippi,35.4,Less than high school
2011,Mississippi,30.2,Less than high school
2011,Montana,27.8,High school graduate
2011,Montana,35.1,Some college or technical school
2011,Montana,35.2,College graduate
2011,Montana,23.5,Less than high school
2011,Montana,35.5,Less than high school
2011,Montana,36.5,High school graduate
2011,Montana,25.3,Some college or technical school
2011,North Carolina,36.6,High school graduate
2011,North Carolina,22.2,College graduate
2011,North Carolina,31.1,High school graduate
2011,North Carolina,36.3,College graduate
2011,North Carolina,35.0,Some college or technical school
2011,North Carolina,31.9,Less than high school
2011,North Carolina,31.4,Some college or technical school
2011,North Carolina,36.4,Less than high school
2011,North Dakota,26.5,College graduate
2011,North Dakota,33.1,Less than high school
2011,North Dakota,38.5,High school graduate
2011,North Dakota,25.1,Less than high school
2011,North Dakota,29.2,Some college or technical school
2011,North Dakota,35.1,College graduate
2011,North Dakota,28.0,High school graduate
2011,North Dakota,35.5,Some college or technical school
2011,Nebraska,37.7,College graduate
2011,Nebraska,35.4,Some college or technical school
2011,Nebraska,36.5,High school graduate
2011,Nebraska,24.1,College graduate
2011,Nebraska,30.0,Some college or technical school
2011,Nebraska,30.3,High school graduate
2011,Nebraska,28.1,Less than high school
2011,Nebraska,36.7,Less than high school
2011,New Hampshire,29.3,High school graduate
2011,New Hampshire,28.4,Less than high school
2011,New Hampshire,29.1,Some college or technical school
2011,New Hampshire,33.3,Less than high school
2011,New Hampshire,36.7,High school graduate
2011,New Hampshire,36.8,College graduate
2011,New Hampshire,33.4,Some college or technical school
2011,New Jersey,26.9,High school graduate
2011,New Jersey,29.4,Less than high school
2011,New Jersey,40.1,Less than high school
2011,New Jersey,35.7,Some college or technical school
2011,New Jersey,25.1,Some college or technical school
2011,New Jersey,37.8,High school graduate
2011,New Jersey,38.4,College graduate
2011,New Mexico,36.2,Less than high school
2011,New Mexico,36.1,Some college or technical school
2011,New Mexico,36.3,College graduate
2011,New Mexico,27.8,High school graduate
2011,New Mexico,27.0,Some college or technical school
2011,New Mexico,31.9,Less than high school
2011,New Mexico,35.0,High school graduate
2011,Nevada,34.5,Less than high school
2011,Nevada,23.1,High school graduate
2011,Nevada,27.4,Some college or technical school
2011,Nevada,38.7,College graduate
2011,Nevada,31.6,Some college or technical school
2011,Nevada,38.7,High school graduate
2011,Nevada,27.6,Less than high school
2011,New York,39.4,Less than high school
2011,New York,26.9,High school graduate
2011,New York,33.6,College graduate
2011,New York,36.8,Some college or technical school
2011,New York,27.5,Less than high school
2011,New York,27.1,Some college or technical school
2011,New York,35.5,High school graduate
2011,Ohio,35.8,High school graduate
2011,Ohio,38.4,College graduate
2011,Ohio,32.1,High school graduate
2011,Ohio,33.7,Less than high school
2011,Ohio,30.5,Some college or technical school
2011,Ohio,36.0,Some college or technical school
2011,Ohio,22.0,College graduate
2011,Ohio,34.6,Less than high school
2011,Oklahoma,33.8,High school graduate
2011,Oklahoma,26.5,College graduate
2011,Oklahoma,31.0,Less than high school
2011,Oklahoma,32.4,Less than high school
2011,Oklahoma,31.3,Some college or technical school
2011,Oklahoma,33.1,High school graduate
2011,Oklahoma,37.0,College graduate
2011,Oklahoma,34.8,Some college or technical school
2011,Oregon,35.1,College graduate
2011,Oregon,37.7,High school graduate
2011,Oregon,33.4,Some college or technical school
2011,Oregon,31.4,Less than high school
2011,Oregon,27.8,High school graduate
2011,Oregon,31.4,Some college or technical school
2011,Pennsylvania,31.6,High school graduate
2011,Pennsylvania,30.0,Some college or technical school
2011,Pennsylvania,38.4,College graduate
2011,Pennsylvania,36.6,High school graduate
2011,Pennsylvania,36.1,Less than high school
2011,Pennsylvania,32.6,Some college or technical school
2011,Pennsylvania,30.8,Less than high school
2011,Rhode Island,37.8,High school graduate
2011,Rhode Island,35.9,Less than high school
2011,Rhode Island,28.7,Less than high school
2011,Rhode Island,35.3,Some college or technical school
2011,Rhode Island,27.0,High school graduate
2011,Rhode Island,38.7,College graduate
2011,Rhode Island,27.9,Some college or technical school
2011,South Carolina,36.6,College graduate
2011,South Carolina,31.8,High school graduate
2011,South Carolina,25.3,College graduate
2011,South Carolina,32.7,Less than high school
2011,South Carolina,34.3,Some college or technical school
2011,South Carolina,33.5,Less than high school
2011,South Carolina,32.9,Some college or technical school
2011,South Carolina,35.3,High school graduate
2011,South Dakota,27.2,Some college or technical school
2011,South Dakota,30.7,Less than high school
2011,South Dakota,35.2,Some college or technical school
2011,South Dakota,32.3,Less than high school
2011,South Dakota,26.1,College graduate
2011,South Dakota,39.3,College graduate
2011,South Dakota,36.8,High school graduate
2011,South Dakota,29.7,High school graduate
2011,Tennessee,37.1,College graduate
2011,Tennessee,38.3,High school graduate
2011,Tennessee,34.1,Less than high school
2011,Tennessee,37.3,Some college or technical school
2011,Tennessee,28.0,Some college or technical school
2011,Tennessee,35.5,Less than high school
2011,Tennessee,22.0,College graduate
2011,Tennessee,32.4,High school graduate
2011,Texas,23.5,College graduate
2011,Texas,32.5,High school graduate
2011,Texas,38.1,College graduate
2011,Texas,34.6,High school graduate
2011,Texas,33.6,Less than high school
2011,Texas,34.7,Some college or technical school
2011,Texas,34.4,Less than high school
2011,Texas,32.2,Some college or technical school
2011,National,35.1,Some college or technical school
2011,National,35.3,Less than high school
2011,National,35.9,High school graduate
2011,National,28.6,Some college or technical school
2011,National,36.8,College graduate
2011,National,32.4,Less than high school
2011,National,29.7,High school graduate
2011,Utah,31.2,Less than high school
2011,Utah,32.7,Some college or technical school
2011,Utah,37.8,College graduate
2011,Utah,24.5,High school graduate
2011,Utah,34.3,Less than high school
2011,Utah,25.4,Some college or technical school
2011,Utah,34.1,High school graduate
2011,Virginia,27.4,Less than high school
2011,Virginia,38.1,Less than high school
2011,Virginia,36.0,College graduate
2011,Virginia,32.4,High school graduate
2011,Virginia,29.2,Some college or technical school
2011,Virginia,22.8,College graduate
2011,Virginia,34.1,High school graduate
2011,Virginia,35.0,Some college or technical school
2011,Vermont,25.1,Some college or technical school
2011,Vermont,34.9,High school graduate
2011,Vermont,33.1,High school graduate
2011,Vermont,33.2,College graduate
2011,Vermont,35.2,Less than high school
2011,Vermont,26.7,Less than high school
2011,Vermont,34.6,Some college or technical school
2011,Washington,32.4,Less than high school
2011,Washington,34.8,College graduate
2011,Washington,33.6,Some college or technical school
2011,Washington,36.4,High school graduate
2011,Washington,30.2,Some college or technical school
2011,Washington,29.3,High school graduate
2011,Washington,28.2,Less than high school
2011,Wisconsin,30.3,High school graduate
2011,Wisconsin,26.9,Some college or technical school
2011,Wisconsin,35.0,High school graduate
2011,Wisconsin,40.5,Less than high school
2011,Wisconsin,39.3,College graduate
2011,Wisconsin,34.2,Less than high school
2011,Wisconsin,36.1,Some college or technical school
2011,West Virginia,32.8,Some college or technical school
2011,West Virginia,36.2,Some college or technical school
2011,West Virginia,37.1,High school graduate
2011,West Virginia,32.7,Less than high school
2011,West Virginia,39.2,College graduate
2011,West Virginia,33.0,Less than high school
2011,West Virginia,29.6,College graduate
2011,West Virginia,33.3,High school graduate
2011,Wyoming,25.4,Some college or technical school
2011,Wyoming,28.0,Less than high school
2011,Wyoming,26.6,High school graduate
2011,Wyoming,33.7,Less than high school
2011,Wyoming,36.3,Some college or technical school
2011,Wyoming,37.9,College graduate
2011,Wyoming,35.9,High school graduate
2012,Alaska,40.4,Some college or technical school
2012,Alaska,23.3,Less than high school
2012,Alaska,41.1,High school graduate
2012,Alaska,25.8,High school graduate
2012,Alaska,35.1,Less than high school
2012,Alaska,26.9,Some college or technical school
2012,Alaska,24.9,College graduate
2012,Alaska,36.2,College graduate
2012,Alabama,33.5,High school graduate
2012,Alabama,35.6,Some college or technical school
2012,Alabama,30.3,Less than high school
2012,Alabama,27.8,College graduate
2012,Alabama,38.1,College graduate
2012,Alabama,34.5,High school graduate
2012,Alabama,35.2,Less than high school
2012,Alabama,34.4,Some college or technical school
2012,Arkansas,32.2,High school graduate
2012,Arkansas,32.7,Some college or technical school
2012,Arkansas,37.1,Some college or technical school
2012,Arkansas,30.7,College graduate
2012,Arkansas,31.6,Less than high school
2012,Arkansas,35.7,College graduate
2012,Arkansas,38.9,Less than high school
2012,Arkansas,36.0,High school graduate
2012,Arizona,22.3,College graduate
2012,Arizona,26.9,High school graduate
2012,Arizona,38.0,Less than high school
2012,Arizona,25.3,Some college or technical school
2012,Arizona,35.4,Some college or technical school
2012,Arizona,36.4,College graduate
2012,Arizona,35.6,High school graduate
2012,Arizona,32.3,Less than high school
2012,California,34.2,College graduate
2012,California,34.8,Less than high school
2012,California,34.3,Some college or technical school
2012,California,37.8,Less than high school
2012,California,36.2,High school graduate
2012,California,26.3,Some college or technical school
2012,California,26.4,High school graduate
2012,Colorado,25.6,Less than high school
2012,Colorado,35.9,College graduate
2012,Colorado,34.2,High school graduate
2012,Colorado,36.4,Less than high school
2012,Colorado,35.0,Some college or technical school
2012,Colorado,23.1,High school graduate
2012,Connecticut,38.6,College graduate
2012,Connecticut,36.6,High school graduate
2012,Connecticut,29.2,High school graduate
2012,Connecticut,28.3,Some college or technical school
2012,Connecticut,33.0,Less than high school
2012,Connecticut,37.6,Less than high school
2012,Connecticut,34.2,Some college or technical school
2012,District of Columbia,29.1,College graduate
2012,District of Columbia,29.0,Some college or technical school
2012,District of Columbia,28.0,Less than high school
2012,District of Columbia,32.3,High school graduate
2012,District of Columbia,27.8,Some college or technical school
2012,District of Columbia,34.5,High school graduate
2012,District of Columbia,31.6,Less than high school
2012,Delaware,27.8,High school graduate
2012,Delaware,39.6,High school graduate
2012,Delaware,38.8,Less than high school
2012,Delaware,27.6,Less than high school
2012,Delaware,31.2,Some college or technical school
2012,Delaware,35.0,Some college or technical school
2012,Delaware,43.2,College graduate
2012,Florida,28.1,High school graduate
2012,Florida,40.1,College graduate
2012,Florida,32.8,Less than high school
2012,Florida,36.7,Some college or technical school
2012,Florida,25.9,Less than high school
2012,Florida,24.3,Some college or technical school
2012,Florida,36.7,High school graduate
2012,Florida,22.5,College graduate
2012,Georgia,32.6,High school graduate
2012,Georgia,31.0,Some college or technical school
2012,Georgia,38.0,High school graduate
2012,Georgia,35.4,College graduate
2012,Georgia,23.2,College graduate
2012,Georgia,28.4,Less than high school
2012,Georgia,33.2,Some college or technical school
2012,Georgia,35.2,Less than high school
2012,Hawaii,23.6,Some college or technical school
2012,Hawaii,31.3,High school graduate
2012,Hawaii,27.4,Less than high school
2012,Hawaii,32.8,Some college or technical school
2012,Hawaii,30.2,Less than high school
2012,Hawaii,34.2,College graduate
2012,Hawaii,27.8,High school graduate
2012,Iowa,34.8,High school graduate
2012,Iowa,23.9,College graduate
2012,Iowa,34.6,Less than high school
2012,Iowa,31.5,Some college or technical school
2012,Iowa,33.5,High school graduate
2012,Iowa,28.6,Less than high school
2012,Iowa,32.3,Some college or technical school
2012,Iowa,37.7,College graduate
2012,Idaho,37.3,College graduate
2012,Idaho,34.6,Less than high school
2012,Idaho,29.0,Some college or technical school
2012,Idaho,34.6,Some college or technical school
2012,Idaho,30.3,Less than high school
2012,Idaho,36.4,High school graduate
2012,Idaho,24.5,High school graduate
2012,Idaho,24.2,College graduate
2012,Illinois,30.7,High school graduate
2012,Illinois,34.6,High school graduate
2012,Illinois,30.0,Less than high school
2012,Illinois,36.0,Some college or technical school
2012,Illinois,24.2,College graduate
2012,Illinois,36.6,College graduate
2012,Illinois,36.5,Less than high school
2012,Illinois,28.4,Some college or technical school
2012,Indiana,36.1,College graduate
2012,Indiana,28.5,Less than high school
2012,Indiana,36.2,High school graduate
2012,Indiana,32.1,High school graduate
2012,Indiana,32.6,Some college or technical school
2012,Indiana,24.2,College graduate
2012,Indiana,37.5,Less than high school
2012,Indiana,33.1,Some college or technical school
2012,Kansas,35.5,Some college or technical school
2012,Kansas,37.9,College graduate
2012,Kansas,31.4,High school graduate
2012,Kansas,23.6,College graduate
2012,Kansas,36.0,Less than high school
2012,Kansas,31.6,Some college or technical school
2012,Kansas,34.9,Less than high school
2012,Kansas,34.0,High school graduate
2012,Kentucky,34.3,Less than high school
2012,Kentucky,36.2,College graduate
2012,Kentucky,35.5,Some college or technical school
2012,Kentucky,33.2,Less than high school
2012,Kentucky,31.8,High school graduate
2012,Kentucky,26.5,College graduate
2012,Kentucky,32.6,Some college or technical school
2012,Kentucky,36.1,High school graduate
2012,Louisiana,38.6,Less than high school
2012,Louisiana,34.0,High school graduate
2012,Louisiana,37.0,High school graduate
2012,Louisiana,37.3,College graduate
2012,Louisiana,37.5,Some college or technical school
2012,Louisiana,32.9,Less than high school
2012,Louisiana,28.3,College graduate
2012,Louisiana,31.8,Some college or technical school
2012,Massachusetts,35.8,College graduate
2012,Massachusetts,36.1,Less than high school
2012,Massachusetts,33.8,Some college or technical school
2012,Massachusetts,25.2,Some college or technical school
2012,Massachusetts,26.5,High school graduate
2012,Massachusetts,30.7,Less than high school
2012,Massachusetts,38.1,High school graduate
2012,Maryland,35.3,Some college or technical school
2012,Maryland,36.5,High school graduate
2012,Maryland,31.6,High school graduate
2012,Maryland,38.1,College graduate
2012,Maryland,29.1,Some college or technical school
2012,Maryland,33.7,Less than high school
2012,Maryland,32.4,Less than high school
2012,Maine,34.8,Less than high school
2012,Maine,36.0,Some college or technical school
2012,Maine,38.6,College graduate
2012,Maine,31.6,High school graduate
2012,Maine,29.6,Some college or technical school
2012,Maine,34.8,High school graduate
2012,Maine,32.5,Less than high school
2012,Michigan,31.9,Less than high school
2012,Michigan,25.5,College graduate
2012,Michigan,32.4,Some college or technical school
2012,Michigan,30.6,Less than high school
2012,Michigan,38.9,College graduate
2012,Michigan,33.6,Some college or technical school
2012,Michigan,33.9,High school graduate
2012,Michigan,33.2,High school graduate
2012,Minnesota,31.6,Less than high school
2012,Minnesota,36.0,Less than high school
2012,Minnesota,28.2,High school graduate
2012,Minnesota,37.1,High school graduate
2012,Minnesota,27.4,Some college or technical school
2012,Minnesota,38.0,College graduate
2012,Minnesota,37.2,Some college or technical school
2012,Missouri,29.1,High school graduate
2012,Missouri,29.9,Some college or technical school
2012,Missouri,27.3,College graduate
2012,Missouri,36.8,High school graduate
2012,Missouri,35.6,Some college or technical school
2012,Missouri,33.9,Less than high school
2012,Missouri,38.3,College graduate
2012,Missouri,32.2,Less than high school
2012,Mississippi,34.1,High school graduate
2012,Mississippi,35.6,Some college or technical school
2012,Mississippi,35.6,College graduate
2012,Mississippi,34.5,High school graduate
2012,Mississippi,33.2,Less than high school
2012,Mississippi,30.6,College graduate
2012,Mississippi,34.1,Some college or technical school
2012,Mississippi,37.4,Less than high school
2012,Montana,30.3,Less than high school
2012,Montana,26.3,Some college or technical school
2012,Montana,35.0,Less than high school
2012,Montana,25.6,High school graduate
2012,Montana,37.9,Some college or technical school
2012,Montana,35.4,College graduate
2012,Montana,38.1,High school graduate
2012,North Carolina,31.8,High school graduate
2012,North Carolina,30.5,Some college or technical school
2012,North Carolina,24.1,College graduate
2012,North Carolina,32.3,Less than high school
2012,North Carolina,36.5,Some college or technical school
2012,North Carolina,35.9,Less than high school
2012,North Carolina,36.8,College graduate
2012,North Carolina,35.8,High school graduate
2012,North Dakota,38.3,Less than high school
2012,North Dakota,29.2,Less than high school
2012,North Dakota,30.2,Some college or technical school
2012,North Dakota,29.9,High school graduate
2012,North Dakota,25.0,College graduate
2012,North Dakota,35.9,College graduate
2012,North Dakota,38.2,Some college or technical school
2012,North Dakota,37.6,High school graduate
2012,Nebraska,28.7,Some college or technical school
2012,Nebraska,36.6,High school graduate
2012,Nebraska,38.0,College graduate
2012,Nebraska,24.5,College graduate
2012,Nebraska,32.0,High school graduate
2012,Nebraska,35.1,Some college or technical school
2012,Nebraska,29.5,Less than high school
2012,Nebraska,36.0,Less than high school
2012,New Hampshire,34.5,Some college or technical school
2012,New Hampshire,28.4,Some college or technical school
2012,New Hampshire,35.8,Less than high school
2012,New Hampshire,30.6,High school graduate
2012,New Hampshire,34.4,High school graduate
2012,New Hampshire,28.9,Less than high school
2012,New Hampshire,37.4,College graduate
2012,New Jersey,34.5,Less than high school
2012,New Jersey,37.6,College graduate
2012,New Jersey,37.7,High school graduate
2012,New Jersey,36.3,Some college or technical school
2012,New Jersey,26.1,Some college or technical school
2012,New Jersey,27.6,High school graduate
2012,New Jersey,31.7,Less than high school
2012,New Mexico,31.8,Less than high school
2012,New Mexico,34.7,Some college or technical school
2012,New Mexico,37.4,College graduate
2012,New Mexico,28.2,High school graduate
2012,New Mexico,29.5,Some college or technical school
2012,New Mexico,37.7,High school graduate
2012,New Mexico,32.3,Less than high school
2012,Nevada,27.3,Some college or technical school
2012,Nevada,38.3,College graduate
2012,Nevada,36.4,High school graduate
2012,Nevada,35.6,Some college or technical school
2012,Nevada,35.2,Less than high school
2012,Nevada,31.2,Less than high school
2012,Nevada,26.8,High school graduate
2012,New York,33.0,Less than high school
2012,New York,25.4,Some college or technical school
2012,New York,35.9,Some college or technical school
2012,New York,35.0,College graduate
2012,New York,23.0,High school graduate
2012,New York,42.7,Less than high school
2012,New York,37.5,High school graduate
2012,Ohio,31.1,Some college or technical school
2012,Ohio,36.3,High school graduate
2012,Ohio,34.7,Some college or technical school
2012,Ohio,35.6,Less than high school
2012,Ohio,31.1,High school graduate
2012,Ohio,38.1,College graduate
2012,Ohio,24.3,College graduate
2012,Ohio,28.7,Less than high school
2012,Oklahoma,31.9,Less than high school
2012,Oklahoma,33.9,High school graduate
2012,Oklahoma,35.6,High school graduate
2012,Oklahoma,37.2,College graduate
2012,Oklahoma,34.9,Some college or technical school
2012,Oklahoma,25.6,College graduate
2012,Oklahoma,34.7,Some college or technical school
2012,Oklahoma,35.3,Less than high school
2012,Oregon,36.2,College graduate
2012,Oregon,32.2,Less than high school
2012,Oregon,28.0,Some college or technical school
2012,Oregon,31.3,High school graduate
2012,Oregon,32.9,Some college or technical school
2012,Oregon,35.4,Less than high school
2012,Oregon,33.6,High school graduate
2012,Pennsylvania,33.0,High school graduate
2012,Pennsylvania,36.7,High school graduate
2012,Pennsylvania,37.1,College graduate
2012,Pennsylvania,29.4,Some college or technical school
2012,Pennsylvania,31.1,Less than high school
2012,Pennsylvania,34.3,Some college or technical school
2012,Pennsylvania,34.2,Less than high school
2012,Rhode Island,37.9,College graduate
2012,Rhode Island,26.9,Some college or technical school
2012,Rhode Island,34.7,Less than high school
2012,Rhode Island,29.2,High school graduate
2012,Rhode Island,38.8,High school graduate
2012,Rhode Island,36.2,Some college or technical school
2012,Rhode Island,27.4,Less than high school
2012,South Carolina,32.7,High school graduate
2012,South Carolina,38.3,Less than high school
2012,South Carolina,36.6,High school graduate
2012,South Carolina,27.9,Less than high school
2012,South Carolina,33.7,Some college or technical school
2012,South Carolina,23.9,College graduate
2012,South Carolina,32.4,Some college or technical school
2012,South Carolina,37.9,College graduate
2012,South Dakota,39.0,High school graduate
2012,South Dakota,37.5,College graduate
2012,South Dakota,23.1,College graduate
2012,South Dakota,36.6,Less than high school
2012,South Dakota,31.6,Less than high school
2012,South Dakota,28.1,Some college or technical school
2012,South Dakota,30.8,High school graduate
2012,South Dakota,37.7,Some college or technical school
2012,Tennessee,25.2,College graduate
2012,Tennessee,34.2,Less than high school
2012,Tennessee,33.2,Some college or technical school
2012,Tennessee,37.6,College graduate
2012,Tennessee,31.7,High school graduate
2012,Tennessee,35.4,High school graduate
2012,Tennessee,35.0,Some college or technical school
2012,Tennessee,26.2,Less than high school
2012,Texas,35.8,High school graduate
2012,Texas,35.9,Some college or technical school
2012,Texas,31.0,High school graduate
2012,Texas,23.8,College graduate
2012,Texas,35.9,Less than high school
2012,Texas,34.3,Less than high school
2012,Texas,29.0,Some college or technical school
2012,Texas,35.8,College graduate
2012,National,35.1,Some college or technical school
2012,National,36.0,High school graduate
2012,National,36.7,College graduate
2012,National,32.9,Less than high school
2012,National,34.9,Less than high school
2012,National,28.7,Some college or technical school
2012,National,29.9,High school graduate
2012,Utah,35.5,College graduate
2012,Utah,25.5,Some college or technical school
2012,Utah,24.0,High school graduate
2012,Utah,33.0,High school graduate
2012,Utah,34.2,Some college or technical school
2012,Utah,27.3,Less than high school
2012,Utah,27.0,Less than high school
2012,Virginia,34.6,Less than high school
2012,Virginia,28.1,Some college or technical school
2012,Virginia,33.9,High school graduate
2012,Virginia,36.6,Some college or technical school
2012,Virginia,38.4,College graduate
2012,Virginia,33.9,Less than high school
2012,Virginia,32.5,High school graduate
2012,Vermont,38.3,High school graduate
2012,Vermont,35.8,College graduate
2012,Vermont,27.7,Less than high school
2012,Vermont,28.9,High school graduate
2012,Vermont,24.5,Some college or technical school
2012,Vermont,36.9,Less than high school
2012,Vermont,35.8,Some college or technical school
2012,Washington,28.6,Some college or technical school
